operator,target_number,b_party_number,call_type,timestamp,duration,latitude,longitude,first_cgi,first_bts_location,last_cgi,imei
bsnl,9477523061,57645,IN,2026-06-17T15:58:21,1,22.39711,88.43938,404-81-724-24723,Mallickpur II C; Kolkata; Lat-22.39711; Long-88.43938,-,359912109839650
bsnl,9477523061,57645,IN,2026-06-17T15:58:25,1,22.39711,88.43938,404-81-724-24723,Mallickpur II C; Kolkata; Lat-22.39711; Long-88.43938,-,359912109839650
bsnl,9477523061,57645,IN,2026-06-17T15:58:30,1,22.39711,88.43938,404-81-724-24723,Mallickpur II C; Kolkata; Lat-22.39711; Long-88.43938,-,359912109839650
bsnl,9477523061,57645,IN,2026-06-17T15:58:34,1,22.39711,88.43938,404-81-724-24723,Mallickpur II C; Kolkata; Lat-22.39711; Long-88.43938,-,359912109839650
bsnl,9477523061,50350310,IN,2026-06-17T16:29:21,1,22.39711,88.43938,404-81-724-24723,Mallickpur II C; Kolkata; Lat-22.39711; Long-88.43938,-,359912109839650
bsnl,9477523061,9875651858,OUT,2026-06-19T12:15:04,760,22.39711,88.43938,404-81-724-24723,Mallickpur II C; Kolkata; Lat-22.39711; Long-88.43938,404-81-724-24723,353832116804840
bsnl,9477523061,AX-INDANE-S,IN,2026-06-19T16:11:48,1,22.39711,88.43938,404-81-724-24723,Mallickpur II C; Kolkata; Lat-22.39711; Long-88.43938,-,355288500603300
bsnl,9477523061,JD-INDANE-S,IN,2026-06-19T16:13:14,1,22.39711,88.43938,404-81-724-24723,Mallickpur II C; Kolkata; Lat-22.39711; Long-88.43938,-,355288500603300
bsnl,9477523061,57645,IN,2026-06-20T12:38:59,1,22.39711,88.43938,404-81-724-24723,Mallickpur II C; Kolkata; Lat-22.39711; Long-88.43938,-,355288500603320
bsnl,9477523061,57645,IN,2026-06-20T12:39:04,1,22.39711,88.43938,404-81-724-24723,Mallickpur II C; Kolkata; Lat-22.39711; Long-88.43938,-,355288500603320
bsnl,9477523061,BT-MYNTRA-S,IN,2026-06-20T12:40:10,1,22.39711,88.43938,404-81-724-24723,Mallickpur II C; Kolkata; Lat-22.39711; Long-88.43938,-,355288500603320
bsnl,9477523061,VM-MYNTRA-S,IN,2026-06-20T12:40:35,1,22.39711,88.43938,404-81-724-24723,Mallickpur II C; Kolkata; Lat-22.39711; Long-88.43938,-,355288500603320
bsnl,9477523061,VM-MYNTRA-S,IN,2026-06-20T12:40:40,1,22.39711,88.43938,404-81-724-24723,Mallickpur II C; Kolkata; Lat-22.39711; Long-88.43938,-,355288500603320
bsnl,9477523061,AX-INDANE-S,IN,2026-06-20T16:52:10,1,22.39711,88.43938,404-81-724-24723,Mallickpur II C; Kolkata; Lat-22.39711; Long-88.43938,-,355288500603320
bsnl,9477523061,JD-INDANE-S,IN,2026-06-20T16:52:39,1,22.39711,88.43938,404-81-724-24723,Mallickpur II C; Kolkata; Lat-22.39711; Long-88.43938,-,355288500603320
bsnl,9477523061,57645,IN,2026-06-21T15:16:28,1,22.39711,88.43938,404-81-724-24723,Mallickpur II C; Kolkata; Lat-22.39711; Long-88.43938,-,355288500602670
bsnl,9477523061,57645,IN,2026-06-21T15:16:34,1,22.39711,88.43938,404-81-724-24723,Mallickpur II C; Kolkata; Lat-22.39711; Long-88.43938,-,355288500602670
bsnl,9477523061,CP-FETCHN-S,IN,2026-06-21T15:20:06,1,22.39711,88.43938,404-81-724-24723,Mallickpur II C; Kolkata; Lat-22.39711; Long-88.43938,-,355288500602670
bsnl,9477523061,AD-JEEMW-S,IN,2026-06-22T12:52:38,1,22.39711,88.43938,404-81-724-24723,Mallickpur II C; Kolkata; Lat-22.39711; Long-88.43938,-,355288500603300
bsnl,9477523061,VA-FLPKRT-S,IN,2026-06-22T14:07:50,1,22.39711,88.43938,404-81-724-24723,Mallickpur II C; Kolkata; Lat-22.39711; Long-88.43938,-,355288500608990
bsnl,9477523061,VA-FLPKRT-S,IN,2026-06-22T14:08:29,1,22.39711,88.43938,404-81-724-24723,Mallickpur II C; Kolkata; Lat-22.39711; Long-88.43938,-,355288500608990
bsnl,9477523061,57645,IN,2026-06-23T19:07:50,1,22.39711,88.43938,404-81-724-24723,Mallickpur II C; Kolkata; Lat-22.39711; Long-88.43938,-,355288500602680
bsnl,9477523061,57645,IN,2026-06-23T19:07:55,1,22.39711,88.43938,404-81-724-24723,Mallickpur II C; Kolkata; Lat-22.39711; Long-88.43938,-,355288500602680
bsnl,9477523061,AD-JEEMW-S,IN,2026-06-23T19:20:39,1,22.39711,88.43938,404-81-724-24723,Mallickpur II C; Kolkata; Lat-22.39711; Long-88.43938,-,355288500602680
bsnl,9477523061,JM-CAMIAL-S,IN,2026-06-23T19:21:11,1,22.39711,88.43938,404-81-724-24723,Mallickpur II C; Kolkata; Lat-22.39711; Long-88.43938,-,355288500602680
bsnl,9477523061,CP-FETCHN-S,IN,2026-06-23T19:22:11,1,22.39711,88.43938,404-81-724-24723,Mallickpur II C; Kolkata; Lat-22.39711; Long-88.43938,-,355288500602680
bsnl,9477523061,VM-BIGBKT-S,IN,2026-06-24T12:21:43,1,22.39711,88.43938,404-81-724-24723,Mallickpur II C; Kolkata; Lat-22.39711; Long-88.43938,-,355288500602670
bsnl,9477523061,JD-IESOUS-S,IN,2026-06-25T12:50:29,1,22.39711,88.43938,404-81-724-24723,Mallickpur II C; Kolkata; Lat-22.39711; Long-88.43938,-,355288500603320
bsnl,9477523061,57575353,IN,2026-06-25T19:31:43,1,22.39711,88.43938,404-81-724-24723,Mallickpur II C; Kolkata; Lat-22.39711; Long-88.43938,-,355288500603320
